id,Name,PS Intelligence,PS Strength,PS Speed,PS Durability,PS Power,PS Combat,Overall PS,Gender,Race,Height,Weight,Full Name,First Appearance,Publisher,Alignment,Occupation,Base,Affiliation,Image,Year
18,Alien,50,28,42,90,57,60,327,Male,Xenomorph Xx121,244 Cm,169 Kg,Xenomorph,Alien (1979),Dark Horse Comics,😈,-,-,-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/18-alien.jpg,1979.0
20,Amazo,63,100,83,100,100,100,546,Male,Android,257 Cm,173 Kg,,"Brave And The Bold #30 (july, 1960)",Dc Comics,😈,-,-,Formerly The Secret Society Of Super Villains,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/20-amazo.jpg,1960.0
23,Angel,75,30,58,90,100,75,428,Male,Vampire,Unknown,Unknown,Liam,-,Dark Horse Comics,😇,-,-,-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/23-angel.jpg,
24,Angel,63,13,46,64,28,42,256,Male,Unknown,183 Cm,68 Kg,Warren Kenneth Worthington Iii,X-men #54-56 (1969),Archangel,😇,"Adventurer, Chairman & Principal Stockholder Of Worthington Industries, Former Terrorist",-,"X-men, Mutantes Sans Fronti?res, Hellfire Club; Formerly Secret Defenders, X-factor/x-terminators, Horsemen Of Apocalypse, Defenders, Death's Champions, Champions Of Los Angeles",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/24-angel.jpg,1969.0
25,Angel Dust,38,55,23,42,17,30,205,Female,Mutant,165 Cm,57 Kg,Christina,Morlocks #1,Marvel Comics,😇,-,"Chicago, Illinois",-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/25-angel-dust.jpg,
26,Angel Salvadore,38,10,28,28,56,60,220,Female,Unknown,163 Cm,54 Kg,Angel Salvadore Bohusk,"New X-men #118 (november, 2001)",Tempest,😇,-,-,Formerly New Warriors; Special Class,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/26-angel-salvadore.jpg,2001.0
28,Animal Man,56,48,47,85,73,80,389,Male,Human,183 Cm,83 Kg,Bernhard Baker,"Strange Adventures #180 (september, 1965)",Dc Comics,😇,-,"San Diego, California","Formerly Animal Masters, Forgotten Heroes, Justice League Of America, Justice League Europe",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/28-animal-man.jpg,1965.0
29,Annihilus,75,80,47,56,59,64,381,Male,Unknown,180 Cm,90 Kg,Annihilus,Fantastic Four Annual #6 (1968),Marvel Comics,😈,"Conqueror, Scavenger",-,Sometime Ally Of Blastaar,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/29-annihilus.jpg,1968.0
30,Ant-man,100,18,23,28,32,32,233,Male,Human,211 Cm,122 Kg,Hank Pym,"Tales To Astonish #27 (january, 1962) (as Hank Pym) Tales To Astonish #35 (september, 1962) (as Ant-man)",Giant-man,😇,"Adventurer, Biochemist, Former Manager Of Avengers Compound","Avengers Compound, Los Angeles; Formerly Infinite Avengers Mansion; Captive Aboard A Skrull Ship; Avengers Mansion, New York City, New York","Avengers Academy, Secret Avengers; Formerly Mighty Avengers, Avengers (founding Member), Defenders, Future Iron Man's Team",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/30-ant-man.jpg,1962.0
31,Ant-man Ii,75,18,17,40,53,30,233,Male,Human,183 Cm,86 Kg,Scott Lang,"Avengers Vol 1 #181 (march, 1979)",Marvel Comics,😇,"Electronics Technician,","South Beach, Miami, Florida; Formerly Farmingdale, Long Island, New York","Ant-man Security Solutions; Formerly Future Foundation (leader), Fantastic Four (leader), Defenders, Avengers, Heroes For Hire, Stark Industries",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/31-ant-man-ii.jpg,1979.0
32,Anti-monitor,88,100,50,100,100,90,528,Male,God / Eternal,61.0 Meters,Unknown,,Crisis On Infinite Earths #4,Dc Comics,😈,-,"Qward, Antimatter Universe","Sinestro Corps, Weaponers Of Qward, Thunderers Of Qward, Shadow Demons",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/32-anti-monitor.jpg,
34,Anti-venom,75,60,65,90,96,84,470,Male,Symbiote,229 Cm,358 Kg,Eddie Brock,Amazing Spider-man #569 (as Anti-venom),Toxin,😐,Vigilante; Former Journalist For The Daily Globe,"New York, New York",-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/34-anti-venom.jpg,
35,Apocalypse,100,100,33,100,100,60,493,Male,Mutant,213 Cm,135 Kg,En Sabah Nur,"X-factor #5 (june, 1986)",Marvel Comics,😈,Student; Formerly Conqueror; Scientist,"Celestial Ship, Mobile","Clan Akkaba, Employer Of Apocalypse's Horsemen, Dark Riders, Former Employer Of The Alliance Of Evil, 198",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/35-apocalypse.jpg,1986.0
36,Aquababy,10,16,12,14,37,14,103,Male,Unknown,Unknown,Unknown,"Arthur Curry, Jr.","Aquaman #23 (october, 1965)",Dc Comics,😇,-,Atlantis,Aquaman Family,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/36-aquababy.jpg,1965.0
37,Aqualad,63,44,42,75,89,60,373,Male,Atlantean,178 Cm,106 Kg,Garth,"Adventure Comics #269 (february, 1960)",Dc Comics,😇,"Adventurer; Magician, Former Sidekick",Atlantis,"Aquaman Family; Formerly Black Lantern Corps, Sentinels Of Magic, Teen Titans",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/37-aqualad.jpg,1960.0
38,Aquaman,81,85,79,80,100,80,505,Male,Atlantean,185 Cm,146 Kg,Orin,"More Fun Comics #73 (november, 1941)",Dc Comics,😇,"Protector Of The Seas And Oceans, King Of Poseidonis","Atlantean Royal Palace; Poseidonis, Atlantis","Justice League, Aquaman Family, Atlantean Royal Family; Formerly Black Lantern Corps, Justice League International, Justice League Detroit, U.n.",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/38-aquaman.jpg,1941.0
39,Arachne,50,48,50,70,71,70,359,Female,Human,175 Cm,63 Kg,Julia Carpenter,Marvel Super Heroes Secret Wars #6,Marvel Comics,😇,"Adventurer, Fugitive, Former Government Agent","Mobile; Formerly Denver, Colorado; Formerly Avengers Compound, Los Angeles, California","Omega Flight, Formerly Commission On Superhuman Activities , Freedom Force , Avengers , Secret Defenders , Force Works , Queen?s Vengeance , West Coast Avengers, Secret Avengers (civil War)",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/39-arachne.jpg,
40,Archangel,63,13,58,64,35,42,275,Male,Mutant,183 Cm,68 Kg,Warren Kenneth Worthington Iii,"X-men #1 (september, 1963)",Angel,😇,"Adventurer, Chairman & Principal Stockholder Of Worthington Industries, Multi-millionaire, Heir, Former Terrorist",-,X-men (founding Member); X-force; Mutantes Sans Fronti?res; Hellfire Club; Formerly X-club (founding Member); Death's Champions; Secret Defenders; X-factor/x-terminators (founding Member); Horsemen Of Apocalypse; Defenders; Champions Of Los Angeles (fou,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/40-archangel.jpg,1963.0
41,Arclight,38,63,23,42,52,70,288,Female,Unknown,173 Cm,57 Kg,Philippa Sontag,"(in Shadow) Uncanny X-men #210 (1986), (fully) X-factor #10 (1986)",Marvel Comics,😈,Terrorist,-,"Marauders Formerly, 198, Femizons",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/41-arclight.jpg,1986.0
42,Ardina,63,100,100,80,100,25,468,Female,Alien,193 Cm,98 Kg,Ardina,The Order #4,Marvel Comics,😇,-,-,-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/42-ardina.jpg,
43,Ares,75,82,35,80,84,101,457,Male,Unknown,185 Cm,270 Kg,,Thor #129,Marvel Comics,😇,-,"Avengers Tower, Formerly Olympus","Avengers, Mighty Avengers, Olympic Pantheon; Warhawks",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/43-ares.jpg,
44,Ariel,50,10,12,14,94,28,208,Female,Unknown,165 Cm,59 Kg,Ariel,Fallen Angels #1 (1987),Marvel Comics,😇,"Leader, Refugee Alien; Former Alien Mutant-hunter And Hedonist",-,"X-men, Formerly Fallen Angels",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/44-ariel.jpg,1987.0
45,Armor,50,63,12,80,55,54,314,Female,Unknown,163 Cm,50 Kg,Hisako Ichiki,Astonishing X-men #4 (2004),Marvel Comics,😇,"Adventurer, Student",-,"X-men, Formerly: Xavier Institute Student Body, New X-men",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/45-armor.jpg,2004.0
48,Atlas,63,80,25,100,98,50,416,Male,Mutant,183 Cm,101 Kg,Erik Josten,Incredible Hulk #449,Goliath,😇,"Adventurer; Former Professional Criminal, Mercenary, Dock Worker, Soldier",-,"Thunderbolts, Formerly Revengers, Defenders (new Jersey Initiative Team), Masters Of Evil, Maggia, Grim Reaper's Lethal Legion, Mandarin's Minions, Emissaries Of Evil; Former Partner Of Citizen V (dallas Riordan) And Swordsman, Count Nefaria's Lethal Legi",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/48-atlas.jpg,
49,Atlas,63,100,42,100,27,80,412,Male,God / Eternal,198 Cm,126 Kg,,Action Comics #121,Dc Comics,😈,-,"Formely; Hyssa, Metropolis",-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/49-atlas.jpg,
52,Atom Girl,38,10,23,28,38,42,179,Female,Unknown,168 Cm,54 Kg,Salu Digby,Teen Titans/legion Special #1 (2004),Dc Comics,😇,-,"United Planets, 31st Century",Legion Of Super-heroes,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/52-atom-girl.jpg,2004.0
53,Atom Ii,88,10,33,45,40,60,276,Male,Human,183 Cm,81 Kg,Ray Palmer,Showcase #34,Dc Comics,😇,Physics Professor,Ivy Town,"Justice League Of America, Formerly; Suicide Squad, Teen Titans",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/53-atom-ii.jpg,
56,Aurora,63,10,96,60,74,56,359,Female,Mutant,180 Cm,63 Kg,Jeanne-marie Beaubier,X-men #121 (1979),Marvel Comics,😇,"Adventurer; Former Terrorist, Nun, History/geography Teacher","Laval, Quebec, Canada","Alpha Flight, Alpha Flight (space Program), Royal Canadian Mounted Police; Formerly Weapon X, Ally Of The Havok's Brotherhood, Headbangers , Children Of The Vault, X-men (interim Member)",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/56-aurora.jpg,1979.0
57,Azazel,50,11,47,95,100,80,383,Male,Neyaphem,183 Cm,67 Kg,,Uncanny X-men #428 (2003),Marvel Comics,😈,Leader Of The Neyaphem,"Brimstone Dimension; Formerly La Isla Des Demonas, Bermuda",-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/57-azazel.jpg,2003.0
58,Azrael,63,18,17,20,35,80,233,Male,Human,Unknown,Unknown,Michael Washington Lane,"Batman #672 (february, 2008)",Dc Comics,😇,"Former Police Officer, Vigilante",-,Order Of St. Dumas; Formerly Gotham City Police Department; Three Ghosts Of Batman,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/58-azrael.jpg,2008.0
60,Bane,88,38,23,56,51,95,351,Male,Human,203 Cm,180 Kg,,"Batman: Vengeance Of Bane #1 (january, 1993)",Dc Comics,😈,-,Santa Prisca,"Suicide Squad, The Secret Society Of Super Villains",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/60-bane.jpg,1993.0
61,Banshee,50,10,58,40,63,70,291,Male,Human,183 Cm,77 Kg,Sean Cassidy,"X-men #28 (january, 1967)",Marvel Comics,😇,"Currently Founder And Director Of Operation For X-corps, Formerly Adventurer And Headmaster At The Massachusetts Academy, In Charge Of Generation X, Interpol Inspector And Agent, Freelance Detective, Professional Criminal, Involuntary Operative For Factor","Muir Island, Off The Coast Of Scotland. Formerly Massachusetts Academy; Xavier Institute","Currently X-corps, Formerly Generation X, Factor Three, X-men",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/61-banshee.jpg,1967.0
62,Bantam,25,53,23,54,21,56,232,Male,Unknown,165 Cm,54 Kg,Roberto Velasquez,"Civil War: Front Line #3 (september, 2006)",Marvel Comics,😇,"Adventurer, Boxing Trainer, Former Boxer",-,"Captain America, Pro-registration Forces",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/62-bantam.jpg,2006.0
63,Batgirl,88,11,33,40,34,90,296,Female,Human,170 Cm,57 Kg,Barbara Gordon,Detective Comics #359,Oracle,😇,-,"Gotham City, Formerly Metropolis, Platinum Flats",-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/63-batgirl.jpg,
66,Batgirl Iv,69,12,27,56,46,100,310,Female,Human,165 Cm,52 Kg,Cassandra Cain,Batman: Legends Of The Dark Knight #120,Dc Comics,😇,-,Gotham City; Bl?dhaven; Tibet; New York City,"Titans East, League Of Assassins, Batman Family, Justice League Elite, Young Justice",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/66-batgirl-iv.jpg,
68,Batgirl Vi,75,10,23,28,22,80,238,Female,Unknown,168 Cm,61 Kg,Stephanie Brown,Detective Comics #647. As Batgirl In Batgirl (volume 3) #1. (2009),Spoiler,😇,College Student At Gotham University,"Gotham Heights, Gotham City","The Batman Family, Formerly The Birds Of Prey, Tim Drake (on-and-off Boyfriend)",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/68-batgirl-vi.jpg,2009.0
69,Batman,81,40,29,55,63,90,358,Male,Human,178 Cm,77 Kg,Terry Mcginnis,Batman Beyond #1,Dc Comics,😇,-,21st Century Gotham City,"Batman Family, Justice League Unlimited",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/69-batman.jpg,
70,Batman,100,26,27,50,47,100,350,Male,Human,188 Cm,95 Kg,Bruce Wayne,Detective Comics #27,Dc Comics,😇,Businessman,"Batcave, Stately Wayne Manor, Gotham City; Hall Of Justice, Justice League Watchtower","Batman Family, Batman Incorporated, Justice League, Outsiders, Wayne Enterprises, Club Of Heroes, Formerly White Lantern Corps, Sinestro Corps",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/70-batman.jpg,
71,Batman Ii,88,11,33,28,36,100,296,Male,Human,178 Cm,79 Kg,Dick Grayson,-,Nightwing,😇,-,"Gotham City; Formerly Bludhaven, New York City","Justice League Of America, Batman Family",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/71-batman-ii.jpg,
72,Battlestar,50,53,35,74,48,74,334,Male,Unknown,198 Cm,133 Kg,Lemar Hoskins,Captain America #323 (1986); (as Bucky),Marvel Comics,😇,"Former Wrestler, Federal Operative",-,"Formerly Wild Pack, Bold Urban Commandos (buckies), Former Partner Of U.s.agent, Operative Of The Commission On Superhuman Activities",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/72-battlestar.jpg,1986.0
73,Batwoman V,81,8,29,25,27,80,250,Female,Human,178 Cm,Unknown,Katherine Rebecca Kane,"52 #7 (june, 2006)",Dc Comics,😇,-,Gotham City,"Batman Family (unofficially), D.e.o, Unknowns",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/73-batwoman-v.jpg,2006.0
75,Beast,94,48,38,60,43,85,368,Male,Mutant,180 Cm,181 Kg,Henry Philip Mccoy,"X-men Vol. 1 #1, (in Furry Ape Form) Amazing Adventures #11, (in Current Feline Form) New X-men Vol. 1 #114",Marvel Comics,😇,"Biochemist, Formerly Xavier Institute For Higher Learning Science And Math Instructor, Mutant Activist, College Lecturer, Researcher, Professional Wrestler","Xavier Institute, Salem Center, Westchester County, New York","Secret Avengers, S.w.o.r.d.; Formerly X-men (founding Member); X-club (founding Member); Initiative; 198; X-treme X-men; Acolytes (while Mind-controlled); Queen's Vengeance; X-factor/x-terminators (founding Member); Rejects; Defenders, Avengers",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/75-beast.jpg,
76,Beast Boy,50,28,50,70,79,40,317,Male,Human,173 Cm,68 Kg,Garfield Mark Logan,"Doom Patrol #99 (november, 1965)",Dc Comics,😇,"Adventurer, Struggling Actor","Prague; Formerly Hollywood, California; Formerly Manhattan, New York","Teen Titans; Former Member Of The Original Doom Patrol, Titans West",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/76-beast-boy.jpg,1965.0
78,Ben 10,10,7,8,10,90,40,165,Male,Unknown,Unknown,Unknown,Benjamin Kirby Tennyson,Ben 10 S01e01,Dc Comics,😇,-,-,-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/78-ben-10.jpg,
79,Beta Ray Bill,63,80,35,95,100,84,457,Male,Unknown,201 Cm,216 Kg,Beta Ray Bill (translation Of His Korbinite Name),Thor #337,Marvel Comics,😇,Guardian Of The Korbinite Race,"Currently New York City, Formerly Asgard, Formerly The Fleet Of Korbinite Ships.","Ally Of The Asgardians, Thor Corps, Star Masters",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/79-beta-ray-bill.jpg,
80,Beyonder,100,100,100,100,100,84,584,Male,God / Eternal,Unknown,Unknown,,Marvel Super-heroes Secret Wars #1,Marvel Comics,😇,Former Student,-,Was Once In A Merged Form With The Molecule Man But Is No Longer Merged With Him.,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/80-beyonder.jpg,
81,Big Barda,88,100,79,100,100,100,567,Female,New God,188 Cm,135 Kg,Barda Free,Mister Miracle (volume 1) #4,Dc Comics,😈,-,"Gotham City, New Genesis, Formerly Apokolips","Apocalypse, New Gods, Birds Of Prey, Formerly Female Furies, Formerly Justice League Of America",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/81-big-barda.jpg,
82,Big Daddy,38,10,12,32,22,64,178,Male,Unknown,Unknown,Unknown,Damon Macready,Kick-ass #4,Icon Comics,😇,-,-,-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/82-big-daddy.jpg,
83,Big Man,75,12,23,28,19,70,227,Male,Unknown,165 Cm,71 Kg,Frederick Foswell,Amazing Spider-man # 10 (1964),Marvel Comics,😈,"Reporter, Professional Criminal",-,"Daily Bugle, The Enforcers",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/83-big-man.jpg,1964.0
84,Bill Harken,63,36,33,60,27,40,259,Male,Alpha,Unknown,Unknown,,-,Syfy,😇,-,-,Alphas,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/84-bill-harken.jpg,
87,Bionic Woman,56,37,33,40,20,40,226,Female,Cyborg,Unknown,Unknown,Jamie Sommers,-,Unknown,😇,-,-,-,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/87-bionic-woman.jpg,
88,Bird-brain,25,10,35,28,21,42,161,-,Unknown,Unknown,Unknown,,"The New Mutants #56 (october, 1987)",Marvel Comics,😇,-,-,"New Mutants, Ani-mate",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/88-bird-brain.jpg,1987.0
92,Bishop,63,14,23,75,100,65,340,Male,Mutant,198 Cm,124 Kg,Lucas Bishop,"Uncanny X-men #282 (november, 1991)",Marvel Comics,😇,"(current) Adventurer, (former) Commander In The Xse (xavier's Security Enforcers)","Formerly Xavier Institute For Higher Learning, Salem Center, Westchester County, New York","""clean City""; Formerly Stryfe; X-men; X.s.e. (storm's Team); X-treme X-men; X.s.e. (hecate'e's Team); The Twelve",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/92-bishop.jpg,1991.0
93,Bizarro,38,95,100,100,100,85,518,Male,Bizarro,191 Cm,155 Kg,Bizarro,Superboy Vol. 1 #68 (1958),Dc Comics,😐,-,Bizarro World,Superman Revenge Squad; Bizarros Of Bizarro World; Former Associate Of The Secret Society Of Super-villains; Joker League Of Anarchy; Former Partner Of Batzarro,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/93-bizarro.jpg,1958.0
95,Black Adam,88,100,92,100,100,56,536,Male,Unknown,191 Cm,113 Kg,Teth-adam,"Marvel Family #1 (december, 1945)",Dc Comics,😈,-,Mobile; Formerly Kahndaq; Fawcett City; New York City,"None; Formerly The Black Marvel Family, Society Of Villains, Injustice Society, Justice Society Of America",Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/95-black-adam.jpg,1945.0
96,Black Bolt,75,67,100,84,100,56,482,Male,Inhuman,188 Cm,95 Kg,Blackagar Boltagon,"Fantastic Four #45 (december, 1965)",Marvel Comics,😇,King Of The Inhumans,"Attilan, Blue Area Of The Moon",Universal Inhumans; Inhuman Royal Family; Formerly Illuminati,Https://cdn.jsdelivr.net/gh/akabab/superhero-api@0.3.0/api/images/lg/96-black-bolt.jpg,1965.0
